,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
8792,23540,21/01/2022,35,Good,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8793,23540,22/01/2022,21,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8794,23540,23/01/2022,31,Good,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8795,23540,24/01/2022,52,Moderate,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8796,23540,25/01/2022,34,Good,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8797,23540,26/01/2022,32,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8798,23540,27/01/2022,49,Good,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8799,23540,28/01/2022,43,Good,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8800,23540,29/01/2022,35,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8801,23540,30/01/2022,39,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8802,23540,31/01/2022,43,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8803,23540,01/02/2022,48,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8804,23540,02/02/2022,45,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8805,23540,03/02/2022,44,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8806,23540,04/02/2022,32,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8807,23540,05/02/2022,29,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8808,23540,06/02/2022,29,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8809,23540,07/02/2022,25,Good,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8810,23540,08/02/2022,27,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8811,23540,09/02/2022,38,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8812,23540,10/02/2022,47,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8813,23540,11/02/2022,61,Moderate,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8814,23540,12/02/2022,44,Good,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8815,23540,13/02/2022,52,Moderate,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8816,23540,14/02/2022,41,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8817,23540,15/02/2022,49,Good,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
